,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
186,IGL,EQ,2018-02-05,289.15,280.45,301.35,280.3,        296.60,296.75,292.07,4556834,1330923141.4,81134,2761638,60.6,2,2018,596.7148132351074,0.026283935673525827,Slight or No change
187,IGL,EQ,2018-02-06,296.75,281.0,294.0,271.1,        290.70,290.85,287.7,2910700,837409660.95,39527,1572042,54.01,2,2018,592.0397390495384,-0.019882055602358784,Slight or No change
188,IGL,EQ,2018-02-07,290.85,297.0,297.3,290.15,        291.00,292.25,293.87,1904017,559526601.5,25314,1081737,56.81,2,2018,589.0719814621515,0.004813477737665384,Slight or No change
189,IGL,EQ,2018-02-08,292.25,292.8,295.95,287.15,        291.40,290.2,291.21,4182524,1218011360.75,59887,2456189,58.73,2,2018,582.7110379509661,-0.007014542343883656,Slight or No change
190,IGL,EQ,2018-02-09,290.2,290.0,293.65,286.0,        290.40,289.55,290.41,2934374,852157992.25,58055,1683293,57.36,2,2018,578.3980054265614,-0.0022398345968297484,Slight or No change
191,IGL,EQ,2018-02-12,289.55,291.0,303.5,289.2,        303.30,302.45,299.57,3111752,932194105.15,36023,1525017,49.01,2,2018,574.1589418983791,0.044551890865135446,Slight or No change
192,IGL,EQ,2018-02-14,302.45,306.9,312.0,305.35,        307.00,307.75,308.58,7816298,2411935110.2,74570,5998254,76.74,2,2018,564.2610023965169,0.017523557612828533,Slight or No change
193,IGL,EQ,2018-02-15,307.75,311.7,311.7,300.2,        305.55,304.2,305.31,1381489,421778822.2,20348,625480,45.28,2,2018,562.5644197320773,-0.011535337124289224,Slight or No change
194,IGL,EQ,2018-02-16,304.2,305.5,306.9,294.0,        298.95,295.05,297.94,1786150,532172988.9,14706,871319,48.78,2,2018,560.3268854421597,-0.030078895463510724,Slight or No change
195,IGL,EQ,2018-02-19,295.05,298.65,298.75,291.25,        295.55,294.75,295.01,878604,259201270.15,14215,276176,31.43,2,2018,559.2386951051395,-0.0010167768174885738,Slight or No change
196,IGL,EQ,2018-02-20,294.75,294.1,299.8,290.65,        296.80,296.85,296.37,1251781,370988757.05,39994,731143,58.41,2,2018,557.7158107160263,0.007124681933842414,Slight or No change
197,IGL,EQ,2018-02-21,296.85,300.95,301.55,292.05,        293.55,293.9,296.3,1954906,579242474.85,29287,1013249,51.83,2,2018,555.3460666109154,-0.009937678962439134,Slight or No change
198,IGL,EQ,2018-02-22,293.9,293.0,295.0,290.1,        292.80,291.7,292.21,1649233,481930125.65,19563,914122,55.43,2,2018,553.3631731876641,-0.007485539299081245,Slight or No change
199,IGL,EQ,2018-02-23,291.7,292.0,301.0,292.0,        296.00,295.5,296.74,2122103,629723049.5,22172,957930,45.14,2,2018,550.8916245025296,0.013027082619129216,Slight or No change
